#{"t_start": 1778815119.3352435, "env_id": "None"}
r,l,t
0.0,1,0.006353
0.0,3,0.008284
0.0,6,0.010781
0.0,4,0.012664
0.0,1,0.01343
0.0,2,0.014455
0.0,1,0.015186
0.0,1,0.015815
0.0,1,0.016669
0.0,1,0.017398
0.0,5,0.021893
0.0,1,0.02303
0.0,1,0.023833
0.0,2,0.024911
0.0,5,0.027067
0.0,1,0.027669
0.0,2,0.028632
0.0,1,0.0293
0.0,1,0.029844
0.0,1,0.030893
0.0,1,0.031879
0.0,3,0.035281
0.0,1,0.037329
0.0,1,0.038479
0.0,1,0.039427
0.0,2,0.040504
0.0,3,0.041937
0.0,1,0.042541
0.0,5,0.044991
0.0,3,0.046325
0.0,3,0.047815
0.0,1,0.04918
0.0,1,0.05134
0.0,3,0.053495
0.0,1,0.054093
0.0,3,0.055573
0.0,1,0.056246
0.0,2,0.057337
0.0,1,0.057943
0.0,1,0.058639
0.0,1,0.059213
0.0,1,0.059901
0.0,1,0.06049
0.0,1,0.061047
0.0,1,0.061655
0.0,2,0.062594
0.0,4,0.065164
0.0,2,0.067628
0.0,3,0.069165
0.0,4,0.071059
0.0,1,0.071783
0.0,1,0.072554
0.0,4,0.074253
0.0,3,0.07566
0.0,1,0.076481
0.0,2,0.077619
0.0,3,0.079294
0.0,1,0.081517
0.0,3,0.083503
0.0,2,0.084491
0.0,3,0.085801
0.0,3,0.087326
0.0,1,0.088241
0.0,1,0.089058
0.0,1,0.089903
0.0,3,0.091574
0.0,1,0.092184
0.0,1,0.093012
0.0,1,0.093671
0.0,1,0.094864
0.0,1,0.097433
0.0,1,0.099291
0.0,3,0.101067
0.0,1,0.102031
0.0,3,0.103494
0.0,3,0.104918
0.0,5,0.107217
0.0,1,0.108052
0.0,2,0.109141
0.0,1,0.110183
0.0,3,0.112679
0.0,1,0.11335
0.0,6,0.115931
0.0,1,0.116582
0.0,1,0.117213
0.0,1,0.117802
0.0,1,0.118538
0.0,1,0.119374
0.0,1,0.119961
0.0,3,0.121387
0.0,1,0.122055
0.0,2,0.123471
0.0,2,0.124522
0.0,1,0.126191
0.0,1,0.129219
0.0,1,0.130322
0.0,2,0.13168
0.0,1,0.132422
0.0,5,0.135801
0.0,1,0.137027
0.0,1,0.138609
0.0,4,0.143472
0.0,2,0.146472
0.0,1,0.147843
0.0,1,0.14894
0.0,1,0.149864
0.0,1,0.150701
0.0,3,0.152227
0.0,1,0.152896
0.0,3,0.15437
0.0,1,0.155312
0.0,3,0.160547
0.0,1,0.16218
0.0,1,0.163172
0.0,1,0.164078
0.0,4,0.166442
0.0,4,0.168519
0.0,2,0.169549
0.0,1,0.170234
0.0,5,0.175718
0.0,1,0.176608
0.0,2,0.178128
0.0,1,0.179163
0.0,5,0.181591
0.0,1,0.182466
0.0,4,0.184242
0.0,1,0.184914
0.0,5,0.190008
0.0,2,0.191889
0.0,2,0.192958
0.0,3,0.19471
0.0,3,0.196278
0.0,4,0.197991
0.0,4,0.199826
0.0,2,0.201153
0.0,3,0.205449
0.0,1,0.206545
0.0,6,0.20929
0.0,1,0.209914
0.0,1,0.210558
0.0,1,0.211222
0.0,3,0.212675
0.0,1,0.213352
0.0,1,0.214124
0.0,1,0.214745
0.0,1,0.215423
0.0,1,0.216185
0.0,2,0.217469
0.0,3,0.221735
0.0,2,0.223171
0.0,1,0.223883
0.0,1,0.224719
0.0,1,0.225373
0.0,1,0.226213
0.0,1,0.227008
0.0,2,0.228394
0.0,2,0.229445
0.0,1,0.230078
0.0,1,0.230793
0.0,1,0.231536
0.0,1,0.232659
0.0,3,0.236591
0.0,1,0.237878
0.0,1,0.238499
0.0,1,0.239101
0.0,1,0.239805
0.0,1,0.240461
0.0,2,0.241364
0.0,1,0.242366
0.0,1,0.243306
0.0,1,0.243937
0.0,1,0.244689
0.0,2,0.245894
0.0,1,0.246687
0.0,1,0.247447
0.0,2,0.249082
0.0,1,0.251109
0.0,1,0.252655
0.0,1,0.253368
0.0,1,0.254118
0.0,3,0.255722
0.0,1,0.25666
0.0,5,0.25947
0.0,1,0.2603
0.0,1,0.261058
0.0,1,0.261898
0.0,3,0.264308
0.0,1,0.265982
0.0,2,0.267501
0.0,3,0.269173
0.0,1,0.269981
0.0,1,0.270821
0.0,3,0.272486
